date,KCM_ST
1/1/2020,0
2/1/2020,3.4143
3/1/2020,-48.96423
4/1/2020,-79.30377
5/1/2020,-78.05641
6/1/2020,-74.87116
7/1/2020,-73.26557
8/1/2020,-72.89252
9/1/2020,-72.36635
10/1/2020,-72.10347
11/1/2020,-75.15944
12/1/2020,-75.88684
1/1/2021,-76.33596
2/1/2021,-75.93862
3/1/2021,-72.55544
4/1/2021,-71.85396
5/1/2021,-69.50856
6/1/2021,-65.5304
7/1/2021,-59.35688
8/1/2021,-59.67847
9/1/2021,-59.59961
10/1/2021,-48.76013
11/1/2021,-52.69812
12/1/2021,-56.34721
1/1/2022,-60.88815
2/1/2022,-57.86133
3/1/2022,-49.43952
4/1/2022,-48.05202
