Date,TransitApp-KCM
2020-02-29,0.13333333333333333
2020-03-31,-52.516129032258064
2020-04-30,-79.76666666666667
2020-05-31,-78.16129032258064
2020-06-30,-74.23333333333333
2020-07-31,-70.74193548387096
2020-08-31,-66.90322580645162
2020-09-30,-68.33333333333333
2020-10-31,-71.7741935483871
2020-11-30,-72.23333333333333
2020-12-31,-70.19354838709677
2021-01-31,-73.48387096774194
2021-02-28,-69.85714285714286
2021-03-31,-69.70967741935483
2021-04-30,-65.73333333333333
2021-05-31,-63.45161290322581
2021-06-30,-60.4
2021-07-31,-52.935483870967744
2021-08-31,-49.516129032258064
2021-09-30,-48.666666666666664
2021-10-31,-39.935483870967744
2021-11-30,-42.2
2021-12-31,-36.806451612903224
2022-01-31,-44.354838709677416
2022-02-28,-37.75
2022-03-31,-34.935483870967744
2022-04-30,-34.03333333333333
2022-05-31,-39.354838709677416
2022-06-30,-37.0
